Pondělí,1.1.,Nový rok,Dorůstá
Úterý,2.1.,Karina,Dorůstá
Středa,3.1.,Radmila,Úplněk - Vlčí Měsíc
Čtvrtek,4.1.,Diana,Ubývá
Pátek,5.1.,Dalimil,Ubývá
Sobota,6.1.,Tři králové,Ubývá
Neděle,7.1.,Vilma,Ubývá
Pondělí,8.1.,Čestmír,Ubývá
Úterý,9.1.,Vladan,Ubývá
Středa,10.1.,Břetislav,Ubývá
Čtvrtek,11.1.,Bohdana,Ubývá
Pátek,12.1.,Pravoslav,Ubývá
Sobota,13.1.,Edita,Ubývá
Neděle,14.1.,Radovan,Ubývá
Pondělí,15.1.,Alice,Ubývá
Úterý,16.1.,Ctirad,Ubývá
Středa,17.1.,Drahoslav,Ubývá
Čtvrtek,18.1.,Vladislav,NOV
Pátek,19.1.,Doubravka,Dorůstá
Sobota,20.1.,Ilona,Dorůstá
Neděle,21.1.,Běla,Dorůstá
Pondělí,22.1.,Slavomír,Dorůstá
Úterý,23.1.,Zdeněk,Dorůstá
Středa,24.1.,Milena,Dorůstá
Čtvrtek,25.1.,Miloš,Dorůstá
Pátek,26.1.,Zora,Dorůstá
Sobota,27.1.,Ingrid,Dorůstá
Neděle,28.1.,Otýlie,Dorůstá
Pondělí,29.1.,Zdislava,Dorůstá
Úterý,30.1.,Robin,Dorůstá
Středa,31.1.,Marika,Dorůstá
Čtvrtek,1.2.,Hynek,Úplněk - Sněžný Měsíc
Pátek,2.2.,Nela a Hromnice,Ubývá
Sobota,3.2.,Blažej,Ubývá
Neděle,4.2.,Jarmila,Ubývá
Pondělí,5.2.,Dobromila,Ubývá
Úterý,6.2.,Vanda,Ubývá
Středa,7.2.,Veronika,Ubývá
Čtvrtek,8.2.,Milada,Ubývá
Pátek,9.2.,Apolena,Ubývá
Sobota,10.2.,Mojmír,Ubývá
Neděle,11.2.,Božena,Ubývá
Pondělí,12.2.,Slavěna,Ubývá
Úterý,13.2.,Věnceslav,Ubývá
Středa,14.2.,Valentýn,Ubývá
Čtvrtek,15.2.,Jiřina,Ubývá
Pátek,16.2.,Ljuba,Ubývá
Sobota,17.2.,Miloslava,NOV
Neděle,18.2.,Gizela,Dorůstá
Pondělí,19.2.,Patrik,Dorůstá
Úterý,20.2.,Oldřich,Dorůstá
Středa,21.2.,Lenka,Dorůstá
Čtvrtek,22.2.,Petr,Dorůstá
Pátek,23.2.,Svatopluk,Dorůstá
Sobota,24.2.,Matěj,Dorůstá
Neděle,25.2.,Liliana,Dorůstá
Pondělí,26.2.,Dorota,Dorůstá
Úterý,27.2.,Alexandr,Dorůstá
Středa,28.2.,Lumír,Dorůstá
Pátek,1.3.,Bedřich,Dorůstá
Sobota,2.3.,Anežka,Dorůstá
Neděle,3.3.,Kamil,Úplněk - Červí Měsíc
Pondělí,4.3.,Stela,Ubývá
Úterý,5.3.,Kazimír,Ubývá
Středa,6.3.,Miroslav,Ubývá
Čtvrtek,7.3.,Tomáš,Ubývá
Pátek,8.3.,Gabriela,Ubývá
Sobota,9.3.,Františka,Ubývá
Neděle,10.3.,Viktorie,Ubývá
Pondělí,11.3.,Anděla,Ubývá
Úterý,12.3.,Řehoř,Ubývá
Středa,13.3.,Růžena,Ubývá
Čtvrtek,14.3.,Rút a Matylda,Ubývá
Pátek,15.3.,Ida,Ubývá
Sobota,16.3.,Elena a Herbert,Ubývá
Neděle,17.3.,Vlastimil,Ubývá
Pondělí,18.3.,Eduard,NOV
Úterý,19.3.,Josef,Dorůstá
Středa,20.3.,Světlana,Dorůstá
Čtvrtek,21.3.,Radek,Dorůstá
Pátek,22.3.,Leona,Dorůstá
Sobota,23.3.,Ivona,Dorůstá
Neděle,24.3.,Gabriel,Dorůstá
Pondělí,25.3.,Marián,Dorůstá
Úterý,26.3.,Emanuel,Dorůstá
Středa,27.3.,Dita,Dorůstá
Čtvrtek,28.3.,Soňa,Dorůstá
Pátek,29.3.,Taťána,Dorůstá
Sobota,30.3.,Arnošt,Dorůstá
Neděle,31.3.,Kvido,Dorůstá
Pondělí,1.4.,Hugo,Dorůstá
Úterý,2.4.,Erika,Úplněk - Rašící Měsíc
Středa,3.4.,Richard,Ubývá
Čtvrtek,4.4.,Ivana,Ubývá
Pátek,5.4.,Miroslava,Ubývá
Sobota,6.4.,Vendula,Ubývá
Neděle,7.4.,Heřman a Hermína,Ubývá
Pondělí,8.4.,Ema,Ubývá
Úterý,9.4.,Dušan,Ubývá
Středa,10.4.,Darja,Ubývá
Čtvrtek,11.4.,Izabela,Ubývá
Pátek,12.4.,Julius,Ubývá
Sobota,13.4.,Aleš,Ubývá
Neděle,14.4.,Vincenc,Ubývá
Pondělí,15.4.,Anastázie,Ubývá
Úterý,16.4.,Irena,Ubývá
Středa,17.4.,Rudolf,NOV
Čtvrtek,18.4.,Valérie,Dorůstá
Pátek,19.4.,Rostislav,Dorůstá
Sobota,20.4.,Marcela,Dorůstá
Neděle,21.4.,Alexandra,Dorůstá
Pondělí,22.4.,Evženie,Dorůstá
Úterý,23.4.,Vojtěch,Dorůstá
Středa,24.4.,Jiří,Dorůstá
Čtvrtek,25.4.,Marek,Dorůstá
Pátek,26.4.,Oto,Dorůstá
Sobota,27.4.,Jaroslav,Dorůstá
Neděle,28.4.,Vlastislav,Dorůstá
Pondělí,29.4.,Robert,Dorůstá
Úterý,30.4.,Blahoslav,Dorůstá
Středa,1.5.,Svátek práce,Úplněk - Květinový Měsíc
Čtvrtek,2.5.,Zikmund,Ubývá
Pátek,3.5.,Alexej,Ubývá
Sobota,4.5.,Květoslav,Ubývá
Neděle,5.5.,Klaudie - Květnové povstání českého lidu (1945),Ubývá
Pondělí,6.5.,Radoslav,Ubývá
Úterý,7.5.,Stanislav,Ubývá
Středa,8.5.,Den osvobození od fašismu (1945),Ubývá
Čtvrtek,9.5.,Ctibor,Ubývá
Pátek,10.5.,Blažena,Ubývá
Sobota,11.5.,Svatava,Ubývá
Neděle,12.5.,Pankrác,Ubývá
Pondělí,13.5.,Servác,Ubývá
Úterý,14.5.,Bonifác,Ubývá
Středa,15.5.,Žofie,Ubývá
Čtvrtek,16.5.,Přemysl,NOV
Pátek,17.5.,Aneta,Dorůstá
Sobota,18.5.,Nataša,Dorůstá
Neděle,19.5.,Ivo,Dorůstá
Pondělí,20.5.,Zbyšek,Dorůstá
Úterý,21.5.,Monika,Dorůstá
Středa,22.5.,Emil,Dorůstá
Čtvrtek,23.5.,Vladimír,Dorůstá
Pátek,24.5.,Jana,Dorůstá
Sobota,25.5.,Viola,Dorůstá
Neděle,26.5.,Filip,Dorůstá
Pondělí,27.5.,Valdemar,Dorůstá
Úterý,28.5.,Vilém,Dorůstá
Středa,29.5.,Maxmilián,Dorůstá
Čtvrtek,30.5.,Ferdinand,Dorůstá
Pátek,31.5.,Kamila,Úplněk - Jahodový Měsíc
Sobota,1.6.,Laura,Ubývá
Neděle,2.6.,Jarmil,Ubývá
Pondělí,3.6.,Tamara,Ubývá
Úterý,4.6.,Dalibor,Ubývá
Středa,5.6.,Dobroslav,Ubývá
Čtvrtek,6.6.,Norbert,Ubývá
Pátek,7.6.,Iveta a Slavoj,Ubývá
Sobota,8.6.,Medard,Ubývá
Neděle,9.6.,Stanislava,Ubývá
