1.1.,Krmit ptáky - vrchol zimy
2.1.,Zimní prázdniny (do 3.1.)
3.1.,Quadrantidy (meteorický roj - maximum)
4.1.,Quadrantidy (meteorický roj) - stále viditelný
5.1.,
6.1.,Objednat semena pro novou sezónu
7.1.,
8.1.,
9.1.,
10.1.,
11.1.,
12.1.,Kontrola zimního úkrytu rostlin
13.1.,
14.1.,
15.1.,Začít plánovat zahradu
16.1.,
17.1.,
18.1.,
19.1.,
20.1.,Nejmrazivější část roku
21.1.,
22.1.,
23.1.,
24.1.,
25.1.,Ochrana stromů před sněhem
26.1.,
27.1.,
28.1.,
29.1.,
30.1.,Řezat ovocné stromy (za bezmrazých dnů)
31.1.,Připravit sadbovače na výsev
1.2.,Začínají kvést sněženky
2.2.,Hromnice - tradiční předpověď jara
3.2.,
4.2.,
5.2.,
6.2.,
7.2.,
8.2.,
9.2.,Masopust - Tři dny řádění před půstem
10.2.,Masopust pokračuje
11.2.,
12.2.,
13.2.,
14.2.,
15.2.,Začínají kvést krokusy
16.2.,
17.2.,Ramadán začíná (islám)
18.2.,Popeleční středa - začátek postní doby
19.2.,Postní doba pokračuje
20.2.,
21.2.,
22.2.,
23.2.,
24.2.,
25.2.,Čas na přípravu skleníku
26.2.,
27.2.,
28.2.,
1.3.,Začíná pylová sezóna (líska) - vysoká koncentrace
2.3.,
3.3.,
4.3.,Purim (židovský svátek)
5.3.,Čas zasít hrách do volné půdy
6.3.,
7.3.,
8.3.,
9.3.,
10.3.,Zasadit česnek jarní
11.3.,
12.3.,
13.3.,
14.3.,
15.3.,Začátek pylení olše - vysoká koncentrace
16.3.,Začínají kvést pampelišky
17.3.,
18.3.,Návrat špačků
19.3.,Začátek astronomického jara - Ramadán končí (Eid al-Fitr)
20.3.,Jarní rovnodennost - den a noc stejně dlouhé
21.3.,Začínají rašit vrby
22.3.,
23.3.,
24.3.,Zasít salát a špenát
25.3.,Návrat skřivanů
26.3.,
27.3.,
28.3.,
29.3.,Květná neděle
30.3.,Poslední neděle března - letní čas začíná - Jarní prázdniny (do 6.4.)
31.3.,Začínají kvést jarní květiny (narcisy) - Termín daňového přiznání
1.4.,Začínek pylení břízy - vysoká koncentrace - Pesach začíná (žid.)
2.4.,Kvete třešeň a višeň
3.4.,Velký pátek
4.4.,Návrat kukačky - Bílá sobota
5.4.,Velikonoce - Hod Boží velikonoční
6.4.,Velikonoční pondělí - Jarní prázdniny končí
7.4.,Zasadit brambory (raná odrůda)
8.4.,
9.4.,
10.4.,Kvete magnolie
11.4.,
12.4.,Zasít mrkev a petržel - Pravoslavné Velikonoce
13.4.,
14.4.,Návrat rorýsů
15.4.,Začínají kvést třešně
16.4.,
17.4.,
18.4.,
19.4.,Pyl břízy vrcholí - pozor alergici
20.4.,Zasadit cibuli
21.4.,
22.4.,Lyridy (meteorický roj - začátek)
23.4.,Lyridy (meteorický roj - maximum)
24.4.,Kvetou jabloně
25.4.,Začínají rašit buky
26.4.,
27.4.,
28.4.,Návrat slavíka
29.4.,
30.4.,Poslední den možných nočních mrazíků - Pálení čarodějnic
1.5.,Návrat vlaštovek - začínají hnízdění
2.5.,Kvete šeřík
3.5.,Eta Aquaridy (meteorický roj - začátek)
4.5.,Začíná kvést javor
5.5.,Kvete akát
6.5.,Eta Aquaridy (meteorický roj - maximum)
7.5.,
8.5.,
9.5.,
10.5.,Kvetou kaštany
11.5.,
12.5.,Zmrzlí muži - Pankrác (možné poslední mrazy) - Pražské jaro začíná
13.5.,Zmrzlí muži - Servác (možné poslední mrazy)
14.5.,Zmrzlí muži - Bonifác (možné poslední mrazy)
15.5.,Zmrzlá Žofie - konec mrazů
16.5.,Vysadit rajčata a papriky
17.5.,
18.5.,Vysadit okurky a cukety
19.5.,
20.5.,Kvetou růže
21.5.,
22.5.,
23.5.,Vysadit fazole - Vesak (Narozeniny Buddhy)
24.5.,
25.5.,Začíná bezový čas - kvete bez
26.5.,Eid al-Adha (Svátek oběti - islám)
27.5.,
28.5.,
29.5.,
30.5.,
31.5.,Vysadit dýně a tykve
1.6.,Začátek pylení trav - vysoká koncentrace
2.6.,
3.6.,Pražské jaro končí
4.6.,Sklizeň raných jahod
5.6.,
6.6.,
7.6.,Sklizeň prvních ředkviček
8.6.,
9.6.,
10.6.,Čas na druhý výsev mrkve
11.6.,
12.6.,
13.6.,
14.6.,Kvete lípa - nejdelší den se blíží
15.6.,Pyl trav vrcholí - pozor alergici
16.6.,
17.6.,
18.6.,Sklizeň časných brambor
19.6.,
20.6.,Letní slunovrat - nejdelší den v roce
21.6.,Začátek astronomického léta
22.6.,
23.6.,Sklizeň bezu černého
24.6.,
25.6.,
26.6.,
27.6.,Vysadit pór a brokolici pro podzim
28.6.,
29.6.,
30.6.,Sklizeň třešní
1.7.,Začíná sklizeň malin - Hlavní prázdniny začínají
2.7.,
3.7.,Sklizeň červeného rybízu
4.7.,Sklizeň černého rybízu
5.7.,Sklizeň bílého rybízu
6.7.,Sklizeň meruněk
7.7.,Vysadit zimní zeleninu
8.7.,Sklizeň angreštu červeného
9.7.,
10.7.,Sklizeň angreštu zeleného
11.7.,
12.7.,Sklizeň raných hrušek
13.7.,
14.7.,Sklizeň okurek
15.7.,Sklizeň borůvek
16.7.,Sklizeň hrušek - Clappova - Colours of Ostrava začíná
17.7.,Colours of Ostrava pokračuje
18.7.,Sklizeň rajčat (rané odrůdy) - Colours of Ostrava pokračuje
19.7.,Sklizeň jablek - James Grieve
20.7.,Zasít ředkev pro podzim
21.7.,Sklizeň hrušek raných
22.7.,
23.7.,Sklizeň rajčat pokračuje
24.7.,Sklizeň česneku
25.7.,Sklizeň cibule
26.7.,
27.7.,Sklizeň prvních paprik
28.7.,Zasít zimní ředkev
29.7.,Sklizeň rajčat cherry
30.7.,Delta Aquaridy (meteorický roj - začátek)
31.7.,Sklizeň paprik - první plody
1.8.,Sklizeň rajčat vrcholí
2.8.,Sklizeň raných paprik
3.8.,Sklizeň paprik a lilku
4.8.,Sklizeň chilli papriček
5.8.,
6.8.,Sklizeň cuket
7.8.,Sklizeň fazolí tyčkových
8.8.,Sklizeň fazolí keříčkových
9.8.,
10.8.,Perseidy (meteorický roj - začátek)
11.8.,Sklizeň švestek
12.8.,Perseidy (meteorický roj - maximum) - nejlepší noc
13.8.,Perseidy (meteorický roj) - stále aktivní
14.8.,Sklizeň jablek - odrůda Letní červené
15.8.,Sklizeň jablek (rané odrůdy) - Discovery
16.8.,Sklizeň hrušek - Letní Williamsova
17.8.,
18.8.,Vysadit jahody pro příští rok
19.8.,Sklizeň ranných hroznů (Morava)
20.8.,Sklizeń kukuřice
21.8.,
22.8.,Zasít špenát na zimu
23.8.,Sklizeň paprik - plná zralost
24.8.,
25.8.,Odlet prvních vlaštovek
26.8.,Sklizeň hrušek - Konference
27.8.,
28.8.,Sklizeň dýní
29.8.,Sklizeň rajčat pokračuje
30.8.,Sklizeň paprik sladkých
31.8.,Sklizeń melounu - Konec hlavních prázdnin
1.9.,Sklizeň pozdních rajčat
2.9.,Sklizeň paprik - pozdní odrůdy
3.9.,Začíná vinobraní na jižní Moravě
4.9.,Sklizeň pozdních jahod
5.9.,Sklizeň hroznů - rané odrůdy (Morava)
6.9.,Sklizeň hroznů - Müller Thurgau (Morava)
7.9.,Sklizeň hroznů - Veltlínské zelené
8.9.,Sklizeň švestek
9.9.,Sklizeň jablek - Gala
10.9.,Zasít zimní česnék
11.9.,Sklizeň jablek - Melrose
